Input	Input Type	MGI Gene/Marker ID	Chr	Strand	Start	End
Lyst	current symbol	MGI:107448	13	+	13590409	13777440
Tle2	current symbol	MGI:104635	10	+	81574561	81590845
Prx	human synonym	MGI:894320	1	-	161240112	161251219
Prx	synonym	MGI:2676626	X	+	37249919	37258983
Prx	current symbol	MGI:108176	7	+	27499324	27520214
Tle1	current symbol	MGI:104636	4	-	72117805	72200893
Odf2	current symbol	MGI:1098824	2	+	29889221	29931746
Odf2	human synonym	MGI:97424	15	+	38219203	38226735
Coq4	current symbol	MGI:1098826	2	+	29787493	29797935
Reep1	current symbol	MGI:1098827	6	+	71707561	71810710
Dhx9	current symbol	MGI:108177	1	-	153455758	153487658
Tgfbr3	current symbol	MGI:104637	5	-	107106570	107289629
Ssty1	current symbol	MGI:1314663	Y	+	18089116	18091556
Ssty1	rat symbol	MGI:3648712	5	-	125847952	125848740
Tff3	current symbol	MGI:104638	17	-	31125306	31129646
Kif3c	current symbol	MGI:107979	12	+	3365132	3406494
Cd40lg	current symbol	MGI:88337	X	+	57212143	57224042
Rab17	current symbol	MGI:104640	1	-	90958133	90969661
Gpr33	current symbol	MGI:1277106	12	-	52023003	52028063
Mrpl49	current symbol	MGI:108180	19	-	6053630	6057751
Ptx3	synonym	MGI:1100498	19	-	46135685	46148326
Ptx3	current symbol	MGI:104641	3	+	66219910	66225805
Rptn	current symbol	MGI:1099055	3	+	93393699	93399442
Pla2g2a	current symbol	MGI:104642	4	+	138831860	138835186
Tcap	current symbol	MGI:1330233	11	+	98383811	98384953
Pdcd2	current symbol	MGI:104643	17	-	15519208	15527301
Tnfsf12	current symbol	MGI:1196259	11	-	69686250	69695849
Il15ra	current symbol	MGI:104644	2	+	11705290	11734317
Tnfrsf8	current symbol	MGI:99908	4	-	145267137	145315164
Hsd3b5	rat symbol	MGI:3782634	3	-	98445675	98457126
Hsd3b5	rat symbol	MGI:96236	3	-	98499071	98510514
Hsd3b5	rat symbol	MGI:3711284	3	-	98552542	98563985
Hsd3b5	current symbol	MGI:104645	3	-	98618634	98630252
Igfals	current symbol	MGI:107973	17	+	24878770	24882008
H2-M10.1	current symbol	MGI:1276522	17	-	36322858	36326155
Fbrs	current symbol	MGI:104648	7	+	127485221	127491513
Cox6a2	current symbol	MGI:104649	7	-	128205436	128206366
Bcat1	current symbol	MGI:104861	6	-	144993835	145076184
Cnr2	synonym	MGI:1298367	18	+	36967631	37187657
Cnr2	current symbol	MGI:104650	4	+	135895394	135920207
Tacr3	current symbol	MGI:892968	3	+	134829007	134934579
Cd82	current symbol	MGI:104651	2	-	93419111	93463140
Tacr1	current symbol	MGI:98475	6	+	82402334	82560104
Capzb	current symbol	MGI:104652	4	+	139192899	139291818
Tacr2	current symbol	MGI:98477	10	+	62252438	62265990
Atp2b1	current symbol	MGI:104653	10	+	98915152	99026143
Car6	current symbol	MGI:1333786	4	-	150187015	150201332
Gabre	current symbol	MGI:1330235	X	-	72255999	72274803
Dld	zebrafish symbol	MGI:104659	17	-	15367354	15376872
Dld	human synonym	MGI:1913544	X	-	74384719	74393272
Dld	human synonym	MGI:106428	8	-	111623785	111630374
Dld	current symbol	MGI:107450	12	-	31331564	31351437
Gm10083	current symbol	MGI:3642418	8	+	47412408	47414164
Gm10663	current symbol	MGI:3642419	8	+	65075033	65077480
Gm10779	current symbol	MGI:3642421	13	null	60331448	60333750
F530104D19Rik	current symbol	MGI:3642424	UN		
Vmn2r108	current symbol	MGI:3643822	17	-	20462373	20481236
Gm9982	current symbol	MGI:3642428	UN		
Gm4841	current symbol	MGI:3643814	18	-	60268301	60273267
Gm10181	current symbol	MGI:3642432	9	+	25089422	25089490
Gm10065	current symbol	MGI:3642433	13	-	21479097	21479441
Zscan18	current symbol	MGI:3643810	7	-	12768092	12775658
Vmn2r11	current symbol	MGI:3643806	5	-	109046873	109059452
Gm8297	current symbol	MGI:3643799	14	+	4983935	4992409
Gm8298	current symbol	MGI:3643798	3	+	59861051	59877313
Gm8300	current symbol	MGI:3643794	12	+	87514316	87518266
Scgb2b10	current symbol	MGI:3643785	7	-	32092150	32093938
Gm9961	current symbol	MGI:3642444	16	+	11901363	11930600
Gm14920	current symbol	MGI:3642445	X	+	117014757	117015104
Gm10703	current symbol	MGI:3642447	8	null	10003512	10007538
Gm5382	current symbol	MGI:3643774	X	+	14211148	14211661
Mylk4	current symbol	MGI:3643758	13	-	32704680	32783954
Trabd2b	current symbol	MGI:3650152	4	+	114406724	114615098
Gm7385	current symbol	MGI:3643742	UN		
Gm16430	current symbol	MGI:3643726	X	+	54622211	54639019
Scgb2b33	current symbol	MGI:3643719	7	-	33111673	33113458
Gm4972	current symbol	MGI:3643689	7	-	105412702	105415443
Gm5724	current symbol	MGI:3643685	6	-	141708118	141773810
Gm8764	current symbol	MGI:3643666	10	+	104160006	104162473
F630048H11Rik	current symbol	MGI:3642463	12	null	21399360	21401838
Gm10477	current symbol	MGI:3642464	X	+	56524742	56525432
Gm5930	current symbol	MGI:3643645	14	-	44330442	44338584
Cntnap5a	current symbol	MGI:3643623	1	+	115684756	116587323
Cks1brt	current symbol	MGI:3643620	8	+	85171322	85173622
Gm8212	current symbol	MGI:3643591	14	+	44197661	44203133
Gm10426	current symbol	MGI:3642470	5	null	90377734	90379042
Gm6792	current symbol	MGI:3643580	7	+	6252710	6282066
Gm6763	current symbol	MGI:3643573	10	+	104151497	104153965
Skint5	current symbol	MGI:3650151	4	-	113477891	113999503
Gm4952	current symbol	MGI:3643569	19	+	12599974	12628251
Gm10735	current symbol	MGI:3642476	13	-	113039301	113042243
Gm9744	current symbol	MGI:3642478	10	null	76442371	76443867
Gm5617	current symbol	MGI:3643566	9	+	48495345	48495964
C130032M10Rik	current symbol	MGI:3642482	9	null	114515696	114516423
Vmn1r128	current symbol	MGI:3643535	7	+	21349373	21350296
Angptl8	current symbol	MGI:3643534	9	+	21835510	21837346
Myh15	chicken symbol	MGI:97255	14	-	54941981	54966927
Myh15	current symbol	MGI:3643515	16	+	49057486	49199104
Gm5767	current symbol	MGI:3643507	16	+	8671671	8683905
Fam196b	current symbol	MGI:3643491	11	+	34314822	34422640
Defb26	current symbol	MGI:3643488	2	-	152507798	152511692
Scgb1b7	current symbol	MGI:3643480	7	+	31712665	31713978
Gm7247	current symbol	MGI:3643454	14	+	51361756	51569982
A730071L15Rik	current symbol	MGI:3642498	11	null	6200028	6201642
Gm7932	current symbol	MGI:3643446	6	+	48859905	48865077
Gm8672	current symbol	MGI:3643443	13	-	49858098	49864688
Vmn1r152	current symbol	MGI:3643438	7	+	22522967	22523890
Gm10643	current symbol	MGI:3642507	8	-	84063561	84065137
Gm5152	current symbol	MGI:3643407	5	-	10242041	10246492
B230307C23Rik	current symbol	MGI:3643396	16	+	97997323	98010000
Spink13	current symbol	MGI:3642511	18	-	62607539	62741387
Gm14474	current symbol	MGI:3650131	X	+	11302432	11302926
Calhm1	current symbol	MGI:3643383	19	-	47141035	47144174
Smim22	current symbol	MGI:3643379	16	+	5007288	5008309
Vmn2r84	current symbol	MGI:3643367	10	-	130385316	130394241
Gm10654	current symbol	MGI:3643366	8	+	70931405	70933037
Gm9837	current symbol	MGI:3642517	11	-	53469749	53470479
Gm6309	current symbol	MGI:3643357	5	-	146167976	146170721
Gm6340	current symbol	MGI:3643354	14	+	33213159	33213586
Gm8180	current symbol	MGI:3643326	14	-	43779488	43784745
Gm4847	current symbol	MGI:3643320	1	-	166628971	166647693
Gm4846	current symbol	MGI:3643319	1	-	166483613	166497588
Gm4944	current symbol	MGI:3643318	17	-	22197265	22225614
Gm10699	current symbol	MGI:3642530	8	+	14090417	14091501
Gm10577	current symbol	MGI:3642534	4	-	101020298	101020696
Gm10576	current symbol	MGI:3642535	4	-	101054439	101055263
Esp6	current symbol	MGI:3643294	17	+	40561507	40565622
Sfta2	current symbol	MGI:3643293	17	+	35601549	35650571
Fbxw22	current symbol	MGI:3643290	9	-	109378400	109404296
Gpr52	current symbol	MGI:3643278	1	-	160576668	160577753
Gm4906	current symbol	MGI:3643273	X	+	11327822	11328151
Gm6358	current symbol	MGI:3643237	16	+	89140851	89141339
Gm5785	current symbol	MGI:3643232	12	+	51828185	51831200
Gm10130	current symbol	MGI:3642547	2	+	150311226	150326982
Gm6760	current symbol	MGI:3643199	X	-	64151405	64152198
Gm9996	current symbol	MGI:3642549	10	-	29143282	29144194
Gm7168	current symbol	MGI:3643198	17	+	13948373	13950678
Gm8074	current symbol	MGI:3643195	9	-	78321299	78322357
Gm4744	current symbol	MGI:3643181	6	-	40948375	40951870
Gm10465	current symbol	MGI:3642554	UN		
Gm10267	current symbol	MGI:3642556	18	-	44156395	44159873
Gm5065	current symbol	MGI:3643170	7	+	5350542	5360682
Gm4924	current symbol	MGI:3643133	10	+	82378593	82381237
Vmn2r67	current symbol	MGI:3643129	7	-	85136240	85155902
Gm5819	current symbol	MGI:3643122	18	+	8694077	8694541
Kctd21	current symbol	MGI:3643121	7	+	97332327	97350213
Gm4763	current symbol	MGI:3643098	7	-	24722732	24724237
Vmn2r9	current symbol	MGI:3643093	5	-	108842947	108852510
Neurl1b	current symbol	MGI:3643092	17	+	26414829	26446349
Vmn2r44	current symbol	MGI:3643088	7	-	8367460	8383238
Pabpc4l	current symbol	MGI:3643087	3	-	46442197	46448219
Gm9910	current symbol	MGI:3642577	11	null	105943703	105945252
Gm9887	current symbol	MGI:3642578	12	-	69371835	69372458
Vmn2r50	current symbol	MGI:3643086	7	-	10037235	10053178
Gm5132	current symbol	MGI:3643069	X	-	9571901	9572409
Gm5464	current symbol	MGI:3643060	14	+	66868850	66871005
B930078G14Rik	current symbol	MGI:3642584	UN		
Gm10668	current symbol	MGI:3642587	7	-	20724525	20730620
Vmn1r114	current symbol	MGI:3642588	7	-	20811221	20812186
Kbtbd6	current symbol	MGI:3643058	14	+	79451835	79454816
Gm8787	current symbol	MGI:3643055	X	-	79330513	79358068
Vmn2r121	current symbol	MGI:3643045	X	-	124127339	124135910
Gm10604	current symbol	MGI:3642593	4	-	11979560	11981265
Gm6613	current symbol	MGI:3643042	UN		
Gm6578	current symbol	MGI:3643037	6	-	12099518	12109583
Gm6109	current symbol	MGI:3643032	13	+	93447609	93448890
Gm9376	current symbol	MGI:3643023	14	+	118266960	118267688
Gm10542	current symbol	MGI:3642604	18	+	44201264	44206018
Gm9964	current symbol	MGI:3642605	11	-	79296179	79296906
Vmn1r57	current symbol	MGI:3646165	7	+	5220478	5221410
Vsig8	current symbol	MGI:3642995	1	+	172555938	172563717
Gm10691	current symbol	MGI:3642612	UN		
Zfp936	current symbol	MGI:3642994	7	+	43177588	43192109
Triml2	current symbol	MGI:3642989	8	+	43183119	43193881
Vmn2r8	current symbol	MGI:3642986	5	-	108797193	108808754
Gm10362	current symbol	MGI:3642619	15	-	73428356	73428950
Gm8693	current symbol	MGI:3642968	7	-	22691397	22692317
Cyp2c54	current symbol	MGI:3642960	19	-	40037941	40073811
Phldb3	current symbol	MGI:3642959	7	+	24611328	24629288
Gm6465	current symbol	MGI:3642949	5	+	11845539	11850352
Fthl17f	current symbol	MGI:3642941	X	+	9063015	9063861
Fthl17b	current symbol	MGI:3642940	X	-	8962134	8962975
Gm5751	current symbol	MGI:3642927	X	+	8874253	8880750
Gm10563	current symbol	MGI:3642630	4	-	155614413	155645408
Gm10753	current symbol	MGI:3642923	13	null	92925352	92927711
Lce3d	current symbol	MGI:3642919	3	+	92957390	92958505
Lce3d	rat symbol	MGI:2135932	3	+	92944486	92945733
Gm10840	current symbol	MGI:3642918	11	+	106160850	106161158
Gm10842	current symbol	MGI:3642916	11	+	105146893	105147261
5730471H19Rik	current symbol	MGI:3642639	UN		
Gm10670	current symbol	MGI:3642641	7	-	20473960	20474925
Gm10729	current symbol	MGI:3642905	3	+	51693716	51695090
Gm10216	current symbol	MGI:3642891	UN		
Gm10447	current symbol	MGI:3642647	11	-	53454804	53457110
Gm10386	current symbol	MGI:3642888	11	null	79992309	79992885
Gm9979	current symbol	MGI:3642885	13	+	40704005	40707949
Gm10160	current symbol	MGI:3642884	7	-	81855533	81855794
Gm10472	current symbol	MGI:3642883	5	-	24449608	24451709
6530402D11Rik	current symbol	MGI:3642877	16	null	94749774	94751034
Gm10673	current symbol	MGI:3642656	3	null	106478282	106480867
Gm9970	current symbol	MGI:3642876	5	-	31240675	31241232
Gm10799	current symbol	MGI:3642868	2	-	104068047	104068550
Gm10192	current symbol	MGI:3642867	4	-	97182840	97183166
B130016D09Rik	current symbol	MGI:3642866	7	+	142283214	142288991
Gm10797	current symbol	MGI:3642860	10	+	67572042	67574263
Ddx43	current symbol	MGI:3642857	9	+	78395777	78423587
Gm9983	current symbol	MGI:3642849	13	null	24989318	24989644
A130057D12Rik	current symbol	MGI:3642847	9	null	75441007	75441651
Gm12216	current symbol	MGI:3650088	11	-	53783418	53859256
9230104M06Rik	current symbol	MGI:3642845	12	null	112999963	113001925
B430203G13Rik	current symbol	MGI:3642832	12	+	17924294	17925668
Gm9884	current symbol	MGI:3642830	1	+	25830657	25831878
Gm10271	current symbol	MGI:3642827	10	-	116956824	116972609
Gm10338	current symbol	MGI:3642676	14	-	7580617	7595592
Gm14399	current symbol	MGI:3650082	2	-	175129493	175142012
Cep85l	current symbol	MGI:3642684	10	-	53278081	53379851
Ctxn3	current symbol	MGI:3642816	18	+	57468486	57478134
Gm10139	current symbol	MGI:3642815	13	+	65512678	65512848
Gm14401	current symbol	MGI:3650075	2	+	177074320	177087347
Gm10537	current symbol	MGI:3642691	1	null	133829527	133831224
Gm16493	current symbol	MGI:3642697	UN		
Gm10383	current symbol	MGI:3642700	UN		
Gm10385	current symbol	MGI:3642705	15	null	36690100	36694950
7420461P10Rik	current symbol	MGI:3642786	1	-	162647193	162658219
Gm15299	current symbol	MGI:3642780	8	+	21315546	21316481
Gm9972	current symbol	MGI:3642779	11	+	43035746	43037278
Vmn2r65	current symbol	MGI:3642776	7	-	84940169	84964009
Gm16485	current symbol	MGI:3642771	9	+	8971791	8975773
Gm10113	current symbol	MGI:3642714	13	-	46175428	46191048
Gm10295	current symbol	MGI:3642770	7	-	71348961	71351485
Vmn1r159	current symbol	MGI:3642763	7	-	22842688	22843605
D330020A13Rik	current symbol	MGI:3642762	6	null	120294363	120295431
Gm9869	current symbol	MGI:3642719	9	-	60821855	60838200
Gm11541	current symbol	MGI:3650066	11	-	94694498	94704499
Gm10662	current symbol	MGI:3642760	7	-	23131854	23144480
Zfp882	current symbol	MGI:3642748	8	+	71908608	71916354
Gm10708	current symbol	MGI:3642746	9	null	8555222	8555448
Gm10869	current symbol	MGI:3642738	15	null	76576181	76576892
Triqk	current symbol	MGI:3650048	4	+	12906838	12983553
Gt(pU21)140Imeg	current symbol	MGI:3629719	UN		
Gm14184	current symbol	MGI:3650024	UN		
Gm14177	current symbol	MGI:3650022	UN		
Gm14178	current symbol	MGI:3650019	UN		
Gm14181	current symbol	MGI:3650018	UN		
Gm14180	current symbol	MGI:3650017	11	-	99734213	99734290
Gm14183	current symbol	MGI:3650016	UN		
Gm12830	current symbol	MGI:3649998	4	+	114821722	114856166
Gm13089	current symbol	MGI:3649972	4	-	143696500	143702711
Gm13088	current symbol	MGI:3649971	4	-	143653760	143657246
Pramef25	current symbol	MGI:3649968	4	-	143948580	143951016
Pramef25	rat synonym	MGI:3712553	4	-	144372760	144377933
Gm13235	current symbol	MGI:3649925	4	+	145868794	145899975
Gm11360	current symbol	MGI:3649916	13	+	27956155	27956415
Gm10573	current symbol	MGI:3649909	4	-	122299722	122313819
Scgb1b30	current symbol	MGI:3649901	7	+	34095431	34100837
Gm14479	current symbol	MGI:3649874	X	+	11315158	11315475
Arhgap40	current symbol	MGI:3649852	2	+	158512796	158550762
Gm14406	current symbol	MGI:3649838	2	-	177569204	177578210
Krt40	current symbol	MGI:3629968	11	-	99537485	99543158
Krt74	current symbol	MGI:3629975	15	-	101754259	101763504
Gm14403	current symbol	MGI:3649813	2	+	177498215	177509471
Gm12394	current symbol	MGI:3649790	4	-	42781928	42856771
Wfdc17	current symbol	MGI:3649773	11	+	83703991	83706268
Gm12355	current symbol	MGI:3649769	11	-	98624351	98625661
Gm14194	current symbol	MGI:3649727	UN		
AY761185	current symbol	MGI:3630303	8	-	20943693	20944748
AY761185	GenBank	MGI:3630303	8	-	20943693	20944748
Rsph3b	current symbol	MGI:3630308	17	-	6904716	6948356
Qrfp	current symbol	MGI:3630329	2	-	31806166	31810580
Defa23	current symbol	MGI:3630381	8	+	21055047	21056016
Defa25	current symbol	MGI:3630385	8	+	21084442	21085285
Defa24	current symbol	MGI:3630383	8	+	21734494	21735471
Defa26	current symbol	MGI:3630390	8	+	21618183	21618972
Defa22	current symbol	MGI:3639039	8	+	21162277	21163249
Gm13057	current symbol	MGI:3649690	4	+	143551709	143558234
Dmrtc1b	current symbol	MGI:3639121	X	+	102707865	102715209
Dmrtc1b	chimpanzee symbol	MGI:1918137	X	-	102903216	102908687
Scgb1b24	current symbol	MGI:3649643	7	+	33743799	33744982
Skint2	current symbol	MGI:3649629	4	+	112613597	112652248
Skint1	current symbol	MGI:3649627	4	+	112006269	112029538
Dok6	current symbol	MGI:3639495	18	-	89301082	89769528
Gm14484	current symbol	MGI:3649617	X	+	11311934	11312427
Gm14393	current symbol	MGI:3649576	2	-	175061549	175067781
Gm13283	current symbol	MGI:3649573	4	+	88760119	88761581
Pin1rt1	current symbol	MGI:3649546	2	-	104713926	104716379
Gm11744	current symbol	MGI:3649529	11	+	116653534	116668389
Dnah7c	current symbol	MGI:3639762	1	+	46425592	46807476
Gm13043	current symbol	MGI:3649500	4	+	143511343	143517831
Gm13040	current symbol	MGI:3649498	4	+	143539672	143542013
Gm11567	current symbol	MGI:3649436	11	+	99879187	99880229
Ifna15	current symbol	MGI:3649418	4	-	88557673	88558245
Zkscan4	current symbol	MGI:3649412	13	+	21478907	21485507
Gm11273	current symbol	MGI:3649411	13	-	21501029	21501418
Gm11709	current symbol	MGI:3649405	11	-	115010335	115016193
Gm12789	current symbol	MGI:3649399	4	+	101986626	101990053
Gm12790	current symbol	MGI:3649398	4	-	101967453	101981049
Pilrb2	current symbol	MGI:2450535	5	-	137865827	137871815
Gm11808	current symbol	MGI:3649356	4	-	3973092	3973595
Gm14192	current symbol	MGI:3649324	UN		
Gm14025	current symbol	MGI:3649276	2	-	129038145	129048172
Ifna16	current symbol	MGI:3649260	4	-	88675915	88676924
Vmn1r223	current symbol	MGI:3649245	13	+	23249238	23250323
Gm13199	current symbol	MGI:3649231	2	-	5862080	5862934
Gm7735	current symbol	MGI:3649168	16	+	89169490	89169648
Vmn2r15	current symbol	MGI:3649165	5	-	109286269	109297556
Vmn1r31	current symbol	MGI:3649162	6	-	58471898	58475343
Vmn2r14	current symbol	MGI:3649151	5	-	109215502	109224622
Gm7697	current symbol	MGI:3649141	8	-	69481346	69522976
Gm7694	current symbol	MGI:3649135	1	-	170298199	170306332
Ifna14	current symbol	MGI:3641425	4	-	88571229	88571798
Apol11a	current symbol	MGI:3649094	15	+	77508271	77517319
Gm4884	current symbol	MGI:3649090	7	+	41032719	41045302
Gm8556	current symbol	MGI:3649082	7	-	102520390	102521063
H60b	current symbol	MGI:3649078	10	+	22273346	22288849
Vmn1r112	current symbol	MGI:3649076	7	+	20771185	20772078
Vmn2r5	current symbol	MGI:3649074	3	-	64490821	64509735
Vmn2r5	rat synonym	MGI:3757666	3	-	64116432	64140543
Vmn2r6	current symbol	MGI:3649068	3	-	64537561	64565298
Vmn2r86	current symbol	MGI:3649066	10	-	130445707	130455894
Gm7325	current symbol	MGI:3649059	17	-	45600967	45602102
Gm6096	current symbol	MGI:3649053	7	+	34251038	34251493
Gm5891	current symbol	MGI:3649014	7	-	21908665	21921291
Gm8104	current symbol	MGI:3649000	14	+	43100601	43115190
Trim43b	current symbol	MGI:3648996	9	-	89084912	89092690
Gm8267	current symbol	MGI:3648993	14	-	44716838	44724987
Gm9257	current symbol	MGI:3648973	12	+	19606929	19607264
Vmn2r113	current symbol	MGI:3648972	17	+	22943184	22958814
Gm16223	current symbol	MGI:3648966	5	+	42067960	42216798
6230426M11Rik	current symbol	MGI:3648960	12	+	104747419	104752779
Gm7145	current symbol	MGI:3648947	1	+	117965939	117986884
Gm6588	current symbol	MGI:3648937	5	+	112449426	112451738
Ces1a	current symbol	MGI:3648919	8	-	93020214	93048192
Gm4792	current symbol	MGI:3648918	10	-	94293665	94298703
Sult2a6	rat symbol	MGI:98430	7	-	13796246	13837409
Sult2a6	current symbol	MGI:3648915	7	-	14222403	14254870
Sult2a6	rat symbol	MGI:3645854	7	-	13909683	13989607
Sult2a6	rat symbol	MGI:3645873	7	-	14067452	14123044
Sult2a6	rat symbol	MGI:3648378	7	+	13623967	13670807
Gm8879	current symbol	MGI:3648905	5	+	11127634	11132487
Gm7982	current symbol	MGI:3648891	5	+	95742014	95746617
Vmn1r117	current symbol	MGI:3648880	7	-	20883198	20884121
Vmn1r116	current symbol	MGI:3648873	7	+	20872256	20873179
Gm5938	current symbol	MGI:3648846	X	+	78125467	78130403
Scgb2b19	current symbol	MGI:3648809	7	-	33278370	33280338
Mcidas	current symbol	MGI:3648807	13	+	112993868	113000394
Gm6811	current symbol	MGI:3648804	17	+	21093172	21094704
Gm8113	current symbol	MGI:3648791	14	+	43925390	43933411
Rhox2d	current symbol	MGI:3648779	X	+	37493428	37497623
Gm7954	current symbol	MGI:3648778	14	-	41448203	41453518
Rhox2g	current symbol	MGI:3648776	X	-	37639115	37643470
Gm7951	current symbol	MGI:3648771	14	-	42111963	42117369
Ccpg1os	current symbol	MGI:3648770	9	-	72979722	72985382
Gm5800	current symbol	MGI:3648769	14	-	51711643	51717183
Vmn2r117	current symbol	MGI:3648766	17	-	23459675	23479597
Gm6526	current symbol	MGI:3648758	14	+	43747866	43755948
Ces2h	current symbol	MGI:3648740	8	+	105000853	105020410
Gm7102	current symbol	MGI:3648735	19	-	61174686	61176309
Morf4l1b	current symbol	MGI:3648734	19	+	41525252	41526961
Gm4801	current symbol	MGI:3648715	UN		
Gm4871	current symbol	MGI:3648713	5	-	145029600	145032754
Gm4868	current symbol	MGI:3648712	5	-	125847952	125848740
Gm7903	current symbol	MGI:3648697	X	+	135433835	135443830
Gm5591	current symbol	MGI:3648692	7	-	38518139	38528193
Gm5592	current symbol	MGI:3648691	7	+	41284327	41290183
Gm5595	current symbol	MGI:3648690	7	-	42660105	42692718
Gm5886	current symbol	MGI:3648674	6	-	133763999	133767404
Gm5885	current symbol	MGI:3648672	6	+	133529189	133532762
Atp6ap1l	current symbol	MGI:3648665	13	-	90883433	90905355
Vmn1r121	current symbol	MGI:3648662	7	-	21097569	21098513
Spink6	current symbol	MGI:3648654	18	+	44071393	44083610
Eno1b	current symbol	MGI:3648653	18	+	48045335	48048378
Gm8011	current symbol	MGI:3648646	14	+	42463881	42472122
Gm8232	current symbol	MGI:3648583	14	+	44433635	44439086
Gm8439	current symbol	MGI:3648581	4	+	120588745	120609673
Gm8122	current symbol	MGI:3648566	14	-	43229832	43235304
Gm4985	current symbol	MGI:3648554	X	-	23957702	23958934
Ctcfl	current symbol	MGI:3652571	2	-	173093609	173119525
Gm7120	current symbol	MGI:3648543	13	+	119487941	119495505
Prr19	current symbol	MGI:3648539	7	+	25301359	25304133
Gm8975	current symbol	MGI:3648531	19	-	33459609	33473191
Gm6583	current symbol	MGI:3648511	5	-	112353801	112356033
Gm5858	current symbol	MGI:3648487	3	-	153693683	153699449
Tstd1	current symbol	MGI:3648482	1	+	171418872	171420352
Phf11c	current symbol	MGI:3648476	14	-	59380833	59395381
Zfp791	current symbol	MGI:3648473	8	-	85109647	85119637
Gm6280	current symbol	MGI:3648470	14	+	110970729	110971498
Vmn2r101	current symbol	MGI:3648468	17	+	19577231	19612317
Gm8290	current symbol	MGI:3648461	10	+	82006938	82010082
Gm6434	current symbol	MGI:3648424	7	-	25882000	25882378
Bend4	current symbol	MGI:3648414	5	-	67392148	67428310
Gm4758	current symbol	MGI:3648404	16	+	36308045	36312653
Cldn34b1	current symbol	MGI:3648403	X	-	154886805	154890267
Gm6471	current symbol	MGI:3648397	7	+	142831227	142852266
Sult2a5	current symbol	MGI:3648378	7	+	13623967	13670807
Tmem28	current symbol	MGI:3648377	X	+	99821021	99848790
Tmem28	rat synonym	MGI:2142765	8	-	9206001	9771018
Vmn1r175	current symbol	MGI:3648367	7	-	23808286	23809200
Cyp2a22	current symbol	MGI:3648316	7	-	26931631	26939386
Vmn2r75	current symbol	MGI:3648311	7	-	86148042	86171724
Vmn2r68	current symbol	MGI:3648297	7	-	85221518	85237704
Tnrc18	current symbol	MGI:3648294	5	-	142724661	142817662
Cldn34b3	current symbol	MGI:3648293	X	+	76264304	76267738
Gm4907	current symbol	MGI:3648288	X	+	23882553	23907607
Gm5127	current symbol	MGI:3648285	X	+	106583186	106710557
Scgb2b21	current symbol	MGI:3648283	7	-	33518481	33520458
Vmn1r68	current symbol	MGI:3648262	7	-	10527210	10528169
Gm6899	current symbol	MGI:3648261	11	+	26593241	26593862
Gm5662	current symbol	MGI:3648257	12	-	88270640	88274500
Gm16381	current symbol	MGI:3648256	12	-	87644246	87644467
Vmn2r114	current symbol	MGI:3648252	17	-	23290934	23312313
Vmn2r4	current symbol	MGI:3648229	3	-	64388621	64415296
Gm5577	current symbol	MGI:3648213	6	+	87980883	88005471
Klhdc7b	current symbol	MGI:3648212	15	+	89386827	89388867
Gm5157	current symbol	MGI:3648211	7	-	21184317	21190423
Gm8359	current symbol	MGI:3648197	4	-	121394203	121396557
Gm8362	current symbol	MGI:3648195	14	-	6765962	6774411
Gm9326	current symbol	MGI:3648177	14	+	106461451	106462515
Gm7233	current symbol	MGI:3648176	14	+	43179867	43187988
Gm12689	current symbol	MGI:3650433	4	+	99295900	99297258
Vmn1r135	current symbol	MGI:3648167	7	+	21832351	21833274
Slc38a6	current symbol	MGI:3648156	12	+	73286779	73354049
Defb18	current symbol	MGI:3648148	1	-	18236473	18237443
Col6a5	current symbol	MGI:3648134	9	-	105856078	105960643
Gm8165	current symbol	MGI:3648126	14	-	43671962	43677199
Gm6934	current symbol	MGI:3648115	17	+	51832819	51834723
Gm5481	current symbol	MGI:3648103	16	+	16274302	16276004
Tmem240	current symbol	MGI:3648074	4	+	155734804	155740564
Vmn2r94	current symbol	MGI:3648050	17	-	18243570	18277508
Gm5848	current symbol	MGI:3648047	3	-	68307009	68310359
Vmn2r100	current symbol	MGI:3648026	17	+	19504811	19532060
Gm8271	current symbol	MGI:3648017	14	+	5185793	5193743
Gm7897	current symbol	MGI:3648011	1	-	173829799	173832254
Gm8857	current symbol	MGI:3648006	5	+	10947807	10952592
Gm7861	current symbol	MGI:3648003	8	-	21593375	21594508
Gm8020	current symbol	MGI:3647991	14	-	42496884	42502349
Gm8024	current symbol	MGI:3647989	14	-	42518878	42524282
Rpl10l	current symbol	MGI:3647985	12	-	66283379	66284401
Rpl10l	chicken symbol	MGI:3646701	9	-	105560118	105560762
Vmn2r98	current symbol	MGI:3647977	17	+	19053493	19081311
Gm9325	current symbol	MGI:3647970	14	+	106457845	106458833
Gm5784	current symbol	MGI:3647969	12	+	19387809	19390286
Gm9324	current symbol	MGI:3647962	14	+	106450304	106451368
Vmn2r21	current symbol	MGI:3647953	6	-	123492508	123533406
Vmn2r22	current symbol	MGI:3647952	6	-	123609758	123650635
Gm9949	current symbol	MGI:3647947	18	+	62180126	62184405
Clec2j	current symbol	MGI:3647940	6	-	128654923	128657089
Smok3c	current symbol	MGI:3647925	5	+	138053194	138066537
Gm4802	current symbol	MGI:3647922	16	-	49412250	49412687
Gm8159	current symbol	MGI:3647882	14	+	4632352	4640802
Vmn2r58	current symbol	MGI:3647877	7	-	41836881	41872670
